I_CD_POST_SIEGE;libel_crt;NV_CD_POST;ZE;;;;;;;;CD;;POLE;;;
;;;;;;;;2B225;9404;;A27153;27153;;;;A27153
;;;;;;;;2B226;9404;;A27154;27154;;;;A27154
;;;;;;;;2B227;9404;;A27155;27155;;;;A27155
;;;;;;;;2B229;9407;;A27156;27156;;;;A27156
;;;;;;;;2B230;9404;;A27157;27157;;;;A27157
;;;;;;;;2B231;9405;;A27157;27157;;;;A27157
;;;;;;;;2B233;9404;;A27157;27157;;;;A27157
;;;;;;;;2B234;9404;;A27158;27158;;;;A27158
;;;;;;;;2B235;9405;;A27159;27159;27112;;;A27159
;;;;;;;;2B236;9407;;A27160;27160;27213;;;A27160
;;;;;;;;2B238;9406;;A27161;27161;;;;A27161
;;;;;;;;2B239;9404;;A27162;27162;;;;A27162
;;;;;;;;2B241;9404;;A27163;27163;;;;A27163
;;;;;;;;2B242;9404;;A27164;27164;;;;A27164
;;;;;;;;2B243;9404;;A27165;27165;;;;A27165
;;;;;;;;2B244;9404;;A27166;27166;27198;;;A27166
;;;;;;;;2B245;9404;;A27167;27167;;;;A27167
;;;;;;;;2B246;9404;;A27168;27168;;;;A27168
;;;;;;;;2B248;9406;;A27169;27169;;;;A27169
;;;;;;;;2B250;9404;;A27170;27170;;;;A27170
;;;;;;;;2B251;9407;;A27171;27171;;;;A27171
;;;;;;;;2B252;9404;;A27172;27172;27032;;;A27172
;;;;;;;;2B255;9404;;A27173;27173;;;;A27173
;;;;;;;;2B256;9404;;A27174;27174;;;;A27174
;;;;;;;;2B257;9404;;A27175;27175;;;;A27175
;;;;;;;;2B260;9406;;A27176;27176;;;;A27176
;;;;;;;;2B261;9404;;A27177;27177;;;;A27177
;;;;;;;;2B263;9406;;A27178;27178;27693;;;A27178
;;;;;;;;2B264;9404;;A27179;27179;;;;A27179
;;;;;;;;2B265;9404;;A27180;27180;;;;A27180
;;;;;;;;2B267;9404;;A27181;27181;;;;A27181
;;;;;;;;2B273;9404;;A27182;27182;;;;A27182
;;;;;;;;2B274;9404;;A27183;27183;;;;A27183
;;;;;;;;2B275;9406;;A27184;27184;;;;A27184
;;;;;;;;2B277;9407;;A27185;27185;;;;A27185
;;;;;;;;2B280;9404;;A27186;27186;27416;;;A27186
;;;;;;;;2B281;9404;;A27187;27187;;;;A27187
;;;;;;;;2B283;9407;;A27188;27188;;;;A27188
;;;;;;;;2B286;9404;;A27189;27189;;;;A27189
;;;;;;;;2B287;9404;;A27190;27190;;;;A27190
;;;;;;;;2B289;9406;;A27191;27191;;;;A27191
;;;;;;;;2B290;9405;;A27192;27192;;;;A27192
;;;;;;;;2B291;9404;;A27193;27193;;;;A27193
;;;;;;;;2B292;9406;;A27194;27194;;;;A27194
;;;;;;;;2B293;9404;;A27195;27195;27578;;;A27195
;;;;;;;;2B296;9405;;A27196;27196;;;;A27196
;;;;;;;;2B297;9404;;A27197;27197;27213;;;A27197
;;;;;;;;2B298;9404;;A27198;27198;;;;A27198
;;;;;;;;2B299;9404;;A27198;27198;;;;A27198
;;;;;;;;2B301;9404;;A27198;27198;;;;A27198
;;;;;;;;2B302;9404;;A27199;27199;;;;A27199
;;;;;;;;2B303;9404;;A27200;27200;;;;A27200
;;;;;;;;2B304;9404;;A27201;27201;;;;A27201
;;;;;;;;2B305;9404;;A27202;27202;;;;A27202
;;;;;;;;2B306;9406;;A27203;27203;;;;A27203
;;;;;;;;2B307;9404;;A27204;27204;;;;A27204
;;;;;;;;2B309;9404;;A27205;27205;;;;A27205
;;;;;;;;2B311;9404;;A27206;27206;;;;A27206
;;;;;;;;2B313;9404;;A27207;27207;;;;A27207
;;;;;;;;2B314;9404;;A27208;27208;;;;A27208
;;;;;;;;2B315;9406;;A27209;27209;;;;A27209
;;;;;;;;2B316;9405;;A27210;27210;;;;A27210
;;;;;;;;2B317;9404;;A27211;27211;27191;;;A27211
;;;;;;;;2B318;9404;;A27212;27212;;;;A27212
;;;;;;;;2B319;9404;;A27213;27213;;;;A27213
;;;;;;;;2B320;9407;;A27214;27214;;;;A27214
;;;;;;;;2B321;9404;;A27215;27215;;;;A27215
;;;;;;;;2B327;9404;;A27216;27216;;;;A27216
;;;;;;;;2B328;9404;;A27217;27217;;;;A27217
;;;;;;;;2B329;9406;;A27218;27218;;;;A27218
;;;;;;;;2B332;9404;;A27219;27219;;;;A27219
;;;;;;;;2B333;9404;;A27220;27220;;;;A27220
;;;;;;;;2B334;9404;;A27221;27221;27049;;;A27221
;;;;;;;;2B335;9404;;A27222;27222;;;;A27222
;;;;;;;;2B337;9404;;A27223;27223;27085;;;A27223
;;;;;;;;2B338;9404;;A27224;27224;;;;A27224
;;;;;;;;2B339;9405;;A27225;27225;27157;;;A27225
;;;;;;;;2B340;9404;;A27226;27226;;;;A27226
;;;;;;;;2B341;9406;;A27227;27227;;;;A27227
;;;;;;;;2B342;9407;;A27228;27228;;;;A27228
;;;;;;;;2B343;9404;;A27229;27229;;;;A27229
;;;;;;;;2B344;9404;;A27229;27229;;;;A27229
;;;;;;;;2B346;9404;;A27229;27229;;;;A27229
;;;;;;;;2B347;9406;;A27229;27229;;;;A27229
;;;;;;;;2B350;9404;;A27230;27230;;;;A27230
;;;;;;;;2B352;9405;;A27231;27231;;;;A27231
;;;;;;;;2B353;9404;;A27232;27232;;;;A27232
;;;;;;;;2B354;9406;;A27233;27233;;;;A27233
;;;;;;;;2B355;9404;;A27234;27234;;;;A27234
;;;;;;;;2B356;9404;;A27235;27235;;;;A27235
;;;;;;;;2B361;9405;;A27236;27236;27106;;;A27236
;;;;;;;;2B364;9404;;A27237;27237;;;;A27237
;;;;;;;;2B365;9407;;A27238;27238;;;;A27238
;;;;;;;;2B366;9407;;A27239;27239;;;;A27239
;;;;;;;;30001;9106;;A27240;27240;;;;A27240
;;;;;;;;30002;9106;;A27241;27241;;;;A27241
;;;;;;;;30003;9111;;A27242;27242;;;;A27242
;;;;;;;;30004;9106;;A27243;27243;;;;A27243
;;;;;;;;30005;9105;;A27244;27244;27085;;;A27244
;;;;;;;;30006;9106;;A27245;27245;;;;A27245
;;;;;;;;30007;9104;;A27246;27246;;;;A27246
;;;;;;;;30008;9104;;A27247;27247;;;;A27247
;;;;;;;;30009;9110;;A27248;27248;;;;A27248
;;;;;;;;30010;9104;;A27249;27249;;;;A27249
;;;;;;;;30011;59;;A27250;27250;27191;;;A27250
;;;;;;;;30012;59;;A27251;27251;;;;A27251
;;;;;;;;30013;9106;;A27252;27252;;;;A27252
;;;;;;;;30014;9106;;A27253;27253;27425;;;A27253
;;;;;;;;30015;9110;;A27254;27254;;;;A27254
;;;;;;;;30016;9110;;A27255;27255;27213;;;A27255
;;;;;;;;30017;9110;;A27256;27256;;;;A27256
;;;;;;;;30018;9111;;A27257;27257;27213;;;A27257
;;;;;;;;30019;9111;;A27258;27258;;;;A27258
;;;;;;;;30020;9106;;A27259;27259;;;;A27259
;;;;;;;;30021;9106;;A27260;27260;;;;A27260
;;;;;;;;30022;9104;;A27261;27261;;;;A27261
;;;;;;;;30023;9111;;A27262;27262;27213;;;A27262
;;;;;;;;30024;9110;;A27263;27263;;;;A27263
;;;;;;;;30025;9110;;A27264;27264;27213;;;A27264
;;;;;;;;30026;9110;;A27265;27265;27679;;;A27265
;;;;;;;;30027;9104;;A27266;27266;;;;A27266
;;;;;;;;30028;9105;;A27267;27267;;;;A27267
;;;;;;;;30029;9104;;A27268;27268;27447;;;A27268
;;;;;;;;30030;9106;;A27269;27269;;;;A27269
;;;;;;;;30031;9105;;A27270;27270;;;;A27270
;;;;;;;;30032;59;;A27271;27271;;;;A27271
;;;;;;;;30033;9106;;A27272;27272;27096;;;A27272
;;;;;;;;30034;9106;;A27273;27273;;;;A27273
;;;;;;;;30035;9105;;A27274;27274;27294;;;A27274
;;;;;;;;30036;9106;;A27275;27275;;;;A27275
;;;;;;;;30037;9104;;A27276;27276;;;;A27276
;;;;;;;;30038;9110;;A27277;27277;;;;A27277
;;;;;;;;30039;9106;;A27278;27278;;;;A27278
;;;;;;;;30040;9110;;A27279;27279;;;;A27279
;;;;;;;;30041;9106;;A27280;27280;;;;A27280
;;;;;;;;30042;9104;;A27281;27281;;;;A27281
;;;;;;;;30043;9106;;A27282;27282;;;;A27282
;;;;;;;;30044;9104;;A27283;27283;27049;;;A27283
;;;;;;;;30045;9104;;A27284;27284;;;;A27284
;;;;;;;;30046;9106;;A27285;27285;;;;A27285
;;;;;;;;30047;9106;;A27286;27286;;;;A27286
;;;;;;;;30048;9104;;A27287;27287;;;;A27287
;;;;;;;;30049;9106;;A27288;27288;;;;A27288
;;;;;;;;30050;9110;;A27289;27289;;;;A27289
;;;;;;;;30051;9104;;A27290;27290;;;;A27290
;;;;;;;;30052;9110;;A27291;27291;;;;A27291
;;;;;;;;30053;9106;;A27292;27292;27049;;;A27292
;;;;;;;;30054;9110;;A27293;27293;27198;;;A27293
;;;;;;;;30055;9104;;A27294;27294;;;;A27294
;;;;;;;;30056;9105;;A27295;27295;;;;A27295
;;;;;;;;30057;9106;;A27296;27296;27049;;;A27296
;;;;;;;;30058;9110;;A27297;27297;;;;A27297
;;;;;;;;30059;9106;;A27298;27298;;;;A27298
;;;;;;;;30060;9106;;A27299;27299;;;;A27299
;;;;;;;;30061;9106;;A27300;27300;;;;A27300
;;;;;;;;30062;9106;;A27301;27301;;;;A27301
;;;;;;;;30064;9110;;A27302;27302;;;;A27302
;;;;;;;;30065;9110;;A27303;27303;27565;;;A27303
;;;;;;;;30066;9110;;A27304;27304;;;;A27304
;;;;;;;;30067;9106;;A27305;27305;27112;;;A27305
;;;;;;;;30068;9104;;A27306;27306;;;;A27306
;;;;;;;;30069;9110;;A27307;27307;;;;A27307
;;;;;;;;30070;9105;;A27308;27308;27213;;;A27308
;;;;;;;;30071;9104;;A27309;27309;;;;A27309
;;;;;;;;30072;9106;;A27310;27310;;;;A27310
;;;;;;;;30073;9106;;A27311;27311;;;;A27311
;;;;;;;;30074;9110;;A27312;27312;;;;A27312
;;;;;;;;30075;9106;;A27313;27313;;;;A27313
;;;;;;;;30076;9105;;A27314;27314;27331;;;A27314
;;;;;;;;30077;9104;;A27315;27315;;;;A27315
;;;;;;;;30079;9104;;A27316;27316;;;;A27316
;;;;;;;;30080;9104;;A27317;27317;;;;A27317
;;;;;;;;30081;9105;;A27318;27318;;;;A27318
;;;;;;;;30082;9106;;A27319;27319;;;;A27319
;;;;;;;;30083;9106;;A27320;27320;;;;A27320
;;;;;;;;30084;9105;;A27321;27321;;;;A27321
;;;;;;;;30085;9106;;A27322;27322;;;;A27322
;;;;;;;;30086;9106;;A27323;27323;;;;A27323
;;;;;;;;30087;9110;;A27324;27324;;;;A27324
;;;;;;;;30088;9106;;A27325;27325;;;;A27325
;;;;;;;;30089;9106;;A27326;27326;;;;A27326
;;;;;;;;30090;9104;;A27327;27327;;;;A27327
;;;;;;;;30091;9106;;A27328;27328;27297;;;A27328
;;;;;;;;30092;9105;;A27329;27329;;;;A27329
;;;;;;;;30093;9110;;A27330;27330;;;;A27330
;;;;;;;;30094;9104;;A27331;27331;;;;A27331
;;;;;;;;30095;9110;;A27332;27332;;;;A27332
;;;;;;;;30096;9105;;A27333;27333;;;;A27333
;;;;;;;;30097;9104;;A27334;27334;;;;A27334
;;;;;;;;30098;9106;;A27335;27335;;;;A27335
;;;;;;;;30099;9110;;A27336;27336;;;;A27336
;;;;;;;;30100;9106;;A27337;27337;;;;A27337
;;;;;;;;30101;9104;;A27338;27338;;;;A27338
;;;;;;;;30102;9106;;A27339;27339;;;;A27339
;;;;;;;;30103;59;;A27340;27340;;;;A27340
;;;;;;;;30104;9106;;A27341;27341;;;;A27341
;;;;;;;;30105;9110;;A27342;27342;;;;A27342
;;;;;;;;30106;9110;;A27343;27343;;;;A27343
;;;;;;;;30107;59;;A27344;27344;27062;;;A27344
;;;;;;;;30108;9110;;A27345;27345;;;;A27345
;;;;;;;;30109;9104;;A27346;27346;;;;A27346
;;;;;;;;30110;9106;;A27347;27347;;;;A27347
;;;;;;;;30111;9106;;A27348;27348;;;;A27348
;;;;;;;;30112;9106;;A27349;27349;;;;A27349
;;;;;;;;30113;9105;;A27350;27350;;;;A27350
;;;;;;;;30114;9111;;A27351;27351;;;;A27351
;;;;;;;;30115;9105;;A27352;27352;27105;;;A27352
;;;;;;;;30116;59;;A27353;27353;;;;A27353
;;;;;;;;30117;59;;A27354;27354;;;;A27354
;;;;;;;;30119;9110;;A27355;27355;;;;A27355
;;;;;;;;30120;9104;;A27356;27356;27049;;;A27356
;;;;;;;;30121;9110;;A27357;27357;27415;;;A27357
;;;;;;;;30122;9106;;A27358;27358;;;;A27358
;;;;;;;;30123;9111;;A27359;27359;;;;A27359
;;;;;;;;30124;9105;;A27360;27360;;;;A27360
;;;;;;;;30125;9106;;A27361;27361;;;;A27361
;;;;;;;;30126;9106;;A27362;27362;27049;;;A27362
;;;;;;;;30127;9105;;A27363;27363;;;;A27363
;;;;;;;;30128;9106;;A27364;27364;;;;A27364
;;;;;;;;30129;9104;;A27365;27365;;;;A27365
;;;;;;;;30130;9104;;A27366;27366;;;;A27366
;;;;;;;;30131;9105;;A27367;27367;;;;A27367
;;;;;;;;30132;9104;;A27368;27368;;;;A27368
;;;;;;;;30133;9111;;A27369;27369;;;;A27369
;;;;;;;;30134;9105;;A27370;27370;;;;A27370
;;;;;;;;30135;9106;;A27371;27371;;;;A27371
;;;;;;;;30136;9111;;A27372;27372;;;;A27372
;;;;;;;;30137;9104;;A27373;27373;;;;A27373
;;;;;;;;30138;9106;;A27374;27374;;;;A27374
;;;;;;;;30139;9110;;A27375;27375;;;;A27375
;;;;;;;;30140;9110;;A27376;27376;;;;A27376
;;;;;;;;30141;9105;;A27377;27377;;;;A27377
;;;;;;;;30142;9104;;A27378;27378;;;;A27378
;;;;;;;;30143;9105;;A27379;27379;;;;A27379
;;;;;;;;30144;9111;;A27380;27380;;;;A27380
;;;;;;;;30145;9106;;A27381;27381;;;;A27381
;;;;;;;;30146;9104;;A27382;27382;;;;A27382
;;;;;;;;30147;9104;;A27383;27383;;;;A27383
;;;;;;;;30148;9110;;A27384;27384;;;;A27384
;;;;;;;;30149;59;;A27385;27385;;;;A27385
;;;;;;;;30150;9110;;A27386;27386;;;;A27386
;;;;;;;;30151;9105;;A27387;27387;27198;;;A27387
;;;;;;;;30152;9104;;A27388;27388;;;;A27388
;;;;;;;;30153;9104;;A27389;27389;;;;A27389
;;;;;;;;30154;9110;;A27390;27390;;;;A27390
;;;;;;;;30155;9106;;A27391;27391;;;;A27391
;;;;;;;;30156;9106;;A27392;27392;;;;A27392
;;;;;;;;30157;9110;;A27393;27393;;;;A27393
;;;;;;;;30158;9104;;A27394;27394;;;;A27394
;;;;;;;;30159;9104;;A27395;27395;;;;A27395
;;;;;;;;30160;9104;;A27396;27396;;;;A27396
;;;;;;;;30161;9104;;A27397;27397;;;;A27397
;;;;;;;;30162;9104;;A27398;27398;;;;A27398
;;;;;;;;30163;9106;;A27399;27399;;;;A27399
;;;;;;;;30164;9104;;A27400;27400;;;;A27400
;;;;;;;;30165;9104;;A27401;27401;;;;A27401
;;;;;;;;30166;9106;;A27402;27402;27447;;;A27402
;;;;;;;;30167;9104;;A27403;27403;;;;A27403
;;;;;;;;30168;9104;;A27404;27404;;;;A27404
;;;;;;;;30169;9106;;A27405;27405;;;;A27405
;;;;;;;;30170;9110;;A27406;27406;;;;A27406
;;;;;;;;30171;9104;;A27407;27407;;;;A27407
;;;;;;;;30172;9110;;A27408;27408;;;;A27408
;;;;;;;;30173;9104;;A27409;27409;27198;;;A27409
;;;;;;;;30174;9106;;A27410;27410;;;;A27410
;;;;;;;;30175;9105;;A27411;27411;;;;A27411
;;;;;;;;30176;9110;;A27412;27412;;;;A27412
;;;;;;;;30177;9104;;A27413;27413;;;;A27413
;;;;;;;;30178;59;;A27414;27414;;;;A27414
;;;;;;;;30179;59;;A27415;27415;;;;A27415
;;;;;;;;30180;9106;;A27416;27416;;;;A27416
;;;;;;;;30181;9106;;A27417;27417;;;;A27417
;;;;;;;;30182;9106;;A27418;27418;;;;A27418
;;;;;;;;30183;9106;;A27419;27419;;;;A27419
;;;;;;;;30184;9106;;A27420;27420;;;;A27420
;;;;;;;;30185;9106;;A27421;27421;;;;A27421
;;;;;;;;30186;9106;;A27422;27422;;;;A27422
;;;;;;;;30187;9104;;A27423;27423;;;;A27423
;;;;;;;;30188;9104;;A27424;27424;;;;A27424
;;;;;;;;30189;9106;;A27425;27425;;;;A27425
;;;;;;;;30190;9110;;A27425;27425;;;;A27425
;;;;;;;;30191;9105;;A27425;27425;;;;A27425
;;;;;;;;30192;9110;;A27426;27426;;;;A27426
;;;;;;;;30193;9106;;A27427;27427;;;;A27427
;;;;;;;;30194;9104;;A27428;27428;;;;A27428
;;;;;;;;30195;9110;;A27429;27429;;;;A27429
;;;;;;;;30196;9105;;A27430;27430;;;;A27430
;;;;;;;;30197;9104;;A27431;27431;;;;A27431
;;;;;;;;30198;9110;;A27432;27432;;;;A27432
;;;;;;;;30199;9110;;A27433;27433;;;;A27433
;;;;;;;;30200;9110;;A27434;27434;;;;A27434
;;;;;;;;30201;9104;;A27435;27435;;;;A27435
;;;;;;;;30202;9105;;A27436;27436;;;;A27436
;;;;;;;;30203;9104;;A27437;27437;;;;A27437
;;;;;;;;30204;9104;;A27438;27438;;;;A27438
;;;;;;;;30205;9105;;A27439;27439;;;;A27439
;;;;;;;;30206;9106;;A27440;27440;;;;A27440
;;;;;;;;30207;9106;;A27441;27441;;;;A27441
;;;;;;;;30208;9110;;A27442;27442;;;;A27442
;;;;;;;;30209;59;;A27443;27443;27528;;;A27443
;;;;;;;;30210;9110;;A27444;27444;;;;A27444
;;;;;;;;30211;9106;;A27445;27445;;;;A27445
;;;;;;;;30212;9106;;A27446;27446;;;;A27446
;;;;;;;;30213;9110;;A27447;27447;;;;A27447
;;;;;;;;30214;9104;;A27448;27448;;;;A27448
;;;;;;;;30215;9104;;A27449;27449;27213;;;A27449
;;;;;;;;30216;9104;;A27450;27450;27206;;;A27450
;;;;;;;;30217;59;;A27451;27451;;;;A27451
;;;;;;;;30218;9104;;A27452;27452;27425;;;A27452
;;;;;;;;30219;9110;;A27453;27453;;;;A27453
;;;;;;;;30220;9110;;A27454;27454;;;;A27454
;;;;;;;;30221;59;;A27455;27455;;;;A27455
;;;;;;;;30222;9105;;A27456;27456;;;;A27456
;;;;;;;;30223;9104;;A27457;27457;;;;A27457
;;;;;;;;30224;9106;;A27458;27458;;;;A27458
;;;;;;;;30225;9105;;A27459;27459;;;;A27459
;;;;;;;;30226;9105;;A27460;27460;;;;A27460
;;;;;;;;30227;9104;;A27461;27461;27003;;;A27461
;;;;;;;;30228;9106;;A27462;27462;;;;A27462
;;;;;;;;30229;9110;;A27463;27463;;;;A27463
;;;;;;;;30230;9105;;A27464;27464;;;;A27464
;;;;;;;;30231;9110;;A27465;27465;;;;A27465
;;;;;;;;30232;9105;;A27466;27466;;;;A27466
;;;;;;;;30233;9106;;A27467;27467;;;;A27467
;;;;;;;;30234;9106;;A27468;27468;;;;A27468
;;;;;;;;30235;9106;;A27469;27469;;;;A27469
;;;;;;;;30236;9110;;A27470;27470;;;;A27470
;;;;;;;;30237;9104;;A27471;27471;;;;A27471
;;;;;;;;30238;9110;;A27472;27472;;;;A27472
;;;;;;;;30239;9104;;A27473;27473;;;;A27473
;;;;;;;;30240;9106;;A27474;27474;;;;A27474
;;;;;;;;30241;9106;;A27475;27475;;;;A27475
;;;;;;;;30242;9105;;A27476;27476;;;;A27476
;;;;;;;;30243;9104;;A27477;27477;;;;A27477
;;;;;;;;30244;9111;;A27478;27478;;;;A27478
;;;;;;;;30245;9106;;A27479;27479;27153;;;A27479
;;;;;;;;30246;9110;;A27480;27480;;;;A27480
;;;;;;;;30247;9104;;A27481;27481;;;;A27481
;;;;;;;;30248;9106;;A27482;27482;;;;A27482
;;;;;;;;30249;9106;;A27483;27483;;;;A27483
;;;;;;;;30250;9104;;A27484;27484;27277;;;A27484
;;;;;;;;30251;9105;;A27485;27485;;;;A27485
;;;;;;;;30252;9110;;A27486;27486;;;;A27486
;;;;;;;;30253;9104;;A27487;27487;;;;A27487
;;;;;;;;30254;59;;A27488;27488;;;;A27488
;;;;;;;;30255;9106;;A27489;27489;;;;A27489
;;;;;;;;30256;9105;;A27490;27490;;;;A27490
;;;;;;;;30257;9106;;A27491;27491;;;;A27491
;;;;;;;;30258;9106;;A27492;27492;;;;A27492
;;;;;;;;30259;9104;;A27493;27493;;;;A27493
;;;;;;;;30260;59;;A27494;27494;27198;;;A27494
;;;;;;;;30261;9104;;A27495;27495;;;;A27495
;;;;;;;;30262;9106;;A27496;27496;;;;A27496
;;;;;;;;30263;9110;;A27497;27497;;;;A27497
;;;;;;;;30264;9106;;A27498;27498;;;;A27498
;;;;;;;;30265;9110;;A27499;27499;27049;;;A27499
;;;;;;;;30266;9104;;A27500;27500;;;;A27500
;;;;;;;;30267;9104;;A27501;27501;;;;A27501
;;;;;;;;30268;9104;;A27502;27502;;;;A27502
;;;;;;;;30269;9104;;A27503;27503;27198;;;A27503
;;;;;;;;30270;9104;;A27504;27504;;;;A27504
;;;;;;;;30271;9104;;A27505;27505;;;;A27505
;;;;;;;;30272;9110;;A27506;27506;27011;;;A27506
;;;;;;;;30273;9105;;A27507;27507;;;;A27507
;;;;;;;;30274;9104;;A27508;27508;;;;A27508
;;;;;;;;30275;9104;;A27509;27509;27414;;;A27509
;;;;;;;;30276;9111;;A27510;27510;27448;;;A27510
;;;;;;;;30277;9105;;A27511;27511;;;;A27511
;;;;;;;;30278;59;;A27512;27512;;;;A27512
;;;;;;;;30279;9105;;A27513;27513;27049;;;A27513
;;;;;;;;30280;9110;;A27514;27514;;;;A27514
;;;;;;;;30281;9106;;A27515;27515;27049;;;A27515
;;;;;;;;30282;9105;;A27516;27516;;;;A27516
;;;;;;;;30283;9110;;A27517;27517;;;;A27517
;;;;;;;;30284;9104;;A27518;27518;;;;A27518
;;;;;;;;30285;9106;;A27519;27519;27022;;;A27519
;;;;;;;;30286;9106;;A27520;27520;;;;A27520
;;;;;;;;30287;9105;;A27521;27521;;;;A27521
;;;;;;;;30288;9105;;A27522;27522;;;;A27522
;;;;;;;;30289;9110;;A27523;27523;;;;A27523
;;;;;;;;30290;9105;;A27524;27524;;;;A27524
;;;;;;;;30291;9104;;A27525;27525;;;;A27525
;;;;;;;;30292;9105;;A27526;27526;27107;;;A27526
;;;;;;;;30293;9104;;A27527;27527;;;;A27527
;;;;;;;;30294;9104;;A27528;27528;;;;A27528
;;;;;;;;30295;9106;;A27529;27529;;;;A27529
;;;;;;;;30296;9110;;A27530;27530;;;;A27530
;;;;;;;;30297;9110;;A27531;27531;;;;A27531
;;;;;;;;30298;9104;;A27532;27532;27157;;;A27532
;;;;;;;;30299;9106;;A27533;27533;;;;A27533
;;;;;;;;30300;9110;;A27534;27534;;;;A27534
;;;;;;;;30301;9106;;A27535;27535;;;;A27535
;;;;;;;;30302;9105;;A27536;27536;;;;A27536
;;;;;;;;30303;9104;;A27537;27537;;;;A27537
;;;;;;;;30304;9105;;A27538;27538;;;;A27538
;;;;;;;;30305;9104;;A27539;27539;;;;A27539
;;;;;;;;30306;9111;;A27540;27540;;;;A27540
;;;;;;;;30307;9104;;A27541;27541;;;;A27541
;;;;;;;;30308;9106;;A27542;27542;;;;A27542
;;;;;;;;30309;9110;;A27543;27543;;;;A27543
;;;;;;;;30310;9110;;A27544;27544;;;;A27544
;;;;;;;;30311;9110;;A27545;27545;;;;A27545
;;;;;;;;30312;59;;A27546;27546;;;;A27546
;;;;;;;;30313;9106;;A27547;27547;;;;A27547
;;;;;;;;30314;9110;;A27548;27548;;;;A27548
;;;;;;;;30315;59;;A27549;27549;27467;;;A27549
;;;;;;;;30316;9104;;A27550;27550;;;;A27550
;;;;;;;;30317;9106;;A27551;27551;;;;A27551
;;;;;;;;30318;9104;;A27552;27552;;;;A27552
;;;;;;;;30319;9106;;A27553;27553;;;;A27553
;;;;;;;;30320;9104;;A27554;27554;;;;A27554
;;;;;;;;30321;9111;;A27555;27555;;;;A27555
;;;;;;;;30322;9110;;A27556;27556;;;;A27556
;;;;;;;;30323;9104;;A27557;27557;;;;A27557
;;;;;;;;30324;9106;;A27558;27558;;;;A27558
;;;;;;;;30325;9110;;A27559;27559;27361;;;A27559
;;;;;;;;30326;59;;A27560;27560;;;;A27560
;;;;;;;;30327;9104;;A27561;27561;;;;A27561
;;;;;;;;30328;59;;A27562;27562;;;;A27562
;;;;;;;;30329;9110;;A27563;27563;;;;A27563
;;;;;;;;30330;9104;;A27564;27564;;;;A27564
;;;;;;;;30331;9105;;A27565;27565;;;;A27565
;;;;;;;;30332;9110;;A27566;27566;27049;;;A27566
;;;;;;;;30333;9106;;A27567;27567;;;;A27567
;;;;;;;;30334;9106;;A27568;27568;;;;A27568
;;;;;;;;30335;9110;;A27569;27569;;;;A27569
;;;;;;;;30336;59;;A27570;27570;;;;A27570
;;;;;;;;30337;9106;;A27571;27571;;;;A27571
;;;;;;;;30338;9105;;A27572;27572;;;;A27572
;;;;;;;;30339;9110;;A27573;27573;27578;;;A27573
;;;;;;;;30340;9106;;A27574;27574;27302;;;A27574
;;;;;;;;30341;9106;;A27575;27575;27129;;;A27575
;;;;;;;;30342;9105;;A27576;27576;;;;A27576
;;;;;;;;30343;9105;;A27577;27577;;;;A27577
;;;;;;;;30344;9106;;A27578;27578;;;;A27578
;;;;;;;;30345;9104;;A27579;27579;;;;A27579
;;;;;;;;30346;9106;;A27580;27580;;;;A27580
;;;;;;;;30347;9106;;A27581;27581;;;;A27581
;;;;;;;;30348;9104;;A27582;27582;;;;A27582
;;;;;;;;30349;9110;;A27583;27583;27533;;;A27583
;;;;;;;;30350;9110;;A27584;27584;;;;A27584
;;;;;;;;30351;59;;A27585;27585;27467;;;A27585
;;;;;;;;30352;9111;;A27586;27586;;;;A27586
;;;;;;;;30353;9110;;A27587;27587;;;;A27587
;;;;;;;;30354;9106;;A27588;27588;27554;;;A27588
;;;;;;;;30355;9105;;A27589;27589;;;;A27589
;;;;;;;;30356;9106;;A27590;27590;;;;A27590
;;;;;;;;31001;61;;A27591;27591;;;;A27591
;;;;;;;;31002;61;;A27592;27592;;;;A27592
;;;;;;;;31003;61;;A27593;27593;;;;A27593
;;;;;;;;31004;61;;A27594;27594;;;;A27594
;;;;;;;;31005;61;;A27595;27595;;;;A27595
;;;;;;;;31006;61;;A27596;27596;27049;;;A27596
;;;;;;;;31007;61;;A27597;27597;;;;A27597
;;;;;;;;31008;61;;A27598;27598;;;;A27598
;;;;;;;;31009;7306;;A27599;27599;;;;A27599
;;;;;;;;31010;7306;;A27600;27600;;;;A27600
;;;;;;;;31011;7302;;A27601;27601;;;;A27601
;;;;;;;;31012;7306;;A27602;27602;;;;A27602
;;;;;;;;31013;7306;;A27603;27603;;;;A27603
;;;;;;;;31014;7306;;A27604;27604;;;;A27604
;;;;;;;;31015;7306;;A27605;27605;;;;A27605
;;;;;;;;31017;7306;;A27606;27606;;;;A27606
;;;;;;;;31018;61;;A27607;27607;;;;A27607
;;;;;;;;31019;7306;;A27608;27608;;;;A27608
;;;;;;;;31020;7306;;A27609;27609;;;;A27609
;;;;;;;;31021;7306;;A27610;27610;;;;A27610
;;;;;;;;31022;61;;A27611;27611;;;;A27611
;;;;;;;;31023;7306;;A27612;27612;;;;A27612
;;;;;;;;31024;61;;A27613;27613;;;;A27613
;;;;;;;;31025;61;;A27614;27614;;;;A27614
;;;;;;;;31026;61;;A27615;27615;;;;A27615
;;;;;;;;31027;61;;A27616;27616;;;;A27616
;;;;;;;;31028;61;;A27617;27617;;;;A27617
