INSEE_COM;I_CD_POST_SIEGE;num_TC;CDCOM_TC;num_TCABS;CDCOM_TCABS 
1149;A01149;102067;A01034;100224;A01053
1150;A01150;100224;A01053;100224;A01053
1151;A01151;100224;A01053;100224;A01053
1152;A01152;100224;A01053;100224;A01053
1153;A01153;100224;A01053;100224;A01053
1154;A01154;100224;A01053;100224;A01053
1155;A01155;102067;A01034;100224;A01053
1156;A01156;100224;A01053;100224;A01053
1157;A01157;100224;A01053;100224;A01053
1158;A01158;100224;A01053;100224;A01053
1159;A01159;100224;A01053;100224;A01053
1160;A01160;100224;A01053;100224;A01053
1161;A01161;;;;
1162;A01162;102067;A01034;100224;A01053
1163;A01163;100224;A01053;100224;A01053
1164;A01164;;;;
1165;A01165;100224;A01053;100224;A01053
1166;A01166;100224;A01053;100224;A01053
1167;A01167;100224;A01053;100224;A01053
1168;A01168;;;;
1169;A01169;100224;A01053;100224;A01053
1170;A01170;100224;A01053;100224;A01053
1171;A01171;100224;A01053;100224;A01053
1172;A01172;100224;A01053;100224;A01053
1173;A01173;100224;A01053;100224;A01053
1174;A01174;100224;A01053;100224;A01053
1175;A01175;100224;A01053;100224;A01053
1176;A01176;100224;A01053;100224;A01053
1177;A01177;100224;A01053;100224;A01053
1178;A01178;;;;
1179;A01179;100224;A01053;100224;A01053
1180;A01180;100224;A01053;100224;A01053
1181;A01181;100224;A01053;100224;A01053
1182;A01182;102067;A01034;100224;A01053
1183;A01183;100224;A01053;100224;A01053
1184;A01184;100224;A01053;100224;A01053
1185;A01185;102067;A01034;100224;A01053
1186;A01186;102067;A01034;100224;A01053
1187;A01187;102067;A01034;100224;A01053
1188;A01188;100224;A01053;100224;A01053
1189;A01189;100224;A01053;100224;A01053
1190;A01190;102067;A01034;100224;A01053
1191;A01191;100224;A01053;100224;A01053
1192;A01192;100224;A01053;100224;A01053
1193;A01193;102067;A01034;100224;A01053
1194;A01194;100224;A01053;100224;A01053
1195;A01195;100224;A01053;100224;A01053
1196;A01196;100224;A01053;100224;A01053
1197;A01197;100224;A01053;100224;A01053
1198;A01198;100224;A01053;100224;A01053
1199;A01199;100224;A01053;100224;A01053
1200;A01200;100224;A01053;100224;A01053
1201;A01201;;;;
1202;A01202;102067;A01034;100224;A01053
1203;A01203;100224;A01053;100224;A01053
1204;A01204;100224;A01053;100224;A01053
1205;A01205;100224;A01053;100224;A01053
1206;A01206;100224;A01053;100224;A01053
1207;A01207;100224;A01053;100224;A01053
1208;A01208;102067;A01034;100224;A01053
1209;A01209;100224;A01053;100224;A01053
1210;A01210;100224;A01053;100224;A01053
1211;A01211;100224;A01053;100224;A01053
1212;A01212;100224;A01053;100224;A01053
1213;A01213;102067;A01034;100224;A01053
1214;A01214;100224;A01053;100224;A01053
1215;A01215;100224;A01053;100224;A01053
1216;A01216;102067;A01034;100224;A01053
1217;A01217;;;;
1218;A01218;102067;A01034;100224;A01053
1219;A01219;102067;A01034;100224;A01053
1220;A01220;;;;
1221;A01221;102067;A01034;100224;A01053
1222;A01222;;;;
1223;A01223;;;;
1224;A01224;102067;A01034;100224;A01053
1225;A01225;100224;A01053;100224;A01053
1226;A01226;;;;
1227;A01227;102067;A01034;100224;A01053
1228;A01228;100224;A01053;100224;A01053
1229;A01229;100224;A01053;100224;A01053
1230;A01230;100224;A01053;100224;A01053
1231;A01231;100224;A01053;100224;A01053
1232;A01232;100224;A01053;100224;A01053
1233;A01233;102067;A01034;100224;A01053
1234;A01234;102067;A01034;100224;A01053
1235;A01235;100224;A01053;100224;A01053
1236;A01236;100224;A01053;100224;A01053
1237;A01237;100224;A01053;100224;A01053
1238;A01238;100224;A01053;100224;A01053
1239;A01239;102067;A01034;100224;A01053
1240;A01240;100224;A01053;100224;A01053
1241;A01241;100224;A01053;100224;A01053
1242;A01242;100224;A01053;100224;A01053
1243;A01243;100224;A01053;100224;A01053
1244;A01244;100224;A01053;100224;A01053
1245;A01245;100224;A01053;100224;A01053
1246;A01246;100224;A01053;100224;A01053
1247;A01247;100224;A01053;100224;A01053
1248;A01248;100224;A01053;100224;A01053
1249;A01249;100224;A01053;100224;A01053
1250;A01250;100224;A01053;100224;A01053
1251;A01251;;;;
1252;A01252;100224;A01053;100224;A01053
1253;A01253;;;;
1254;A01254;100224;A01053;100224;A01053
1255;A01255;102067;A01034;100224;A01053
1256;A01256;;;;
1257;A01257;100224;A01053;100224;A01053
1258;A01258;100224;A01053;100224;A01053
1259;A01259;100224;A01053;100224;A01053
1260;A01260;100224;A01053;100224;A01053
1261;A01261;100224;A01053;100224;A01053
1262;A01262;100224;A01053;100224;A01053
1263;A01263;100224;A01053;100224;A01053
1264;A01264;100224;A01053;100224;A01053
1265;A01265;100224;A01053;100224;A01053
1266;A01266;100224;A01053;100224;A01053
1267;A01267;100224;A01053;100224;A01053
1268;A01268;102067;A01034;100224;A01053
1269;A01269;100224;A01053;100224;A01053
1270;A01270;;;;
1271;A01271;102067;A01034;100224;A01053
1272;A01272;100224;A01053;100224;A01053
1273;A01273;100224;A01053;100224;A01053
1274;A01274;100224;A01053;100224;A01053
1275;A01275;100224;A01053;100224;A01053
1276;A01276;100224;A01053;100224;A01053
1277;A01277;102067;A01034;100224;A01053
1278;A01278;;;;
1279;A01279;102067;A01034;100224;A01053
1280;A01280;102067;A01034;100224;A01053
1281;A01281;100224;A01053;100224;A01053
1282;A01282;100224;A01053;100224;A01053
1283;A01283;100224;A01053;100224;A01053
1284;A01284;100224;A01053;100224;A01053
1285;A01285;100224;A01053;100224;A01053
1286;A01286;102067;A01034;100224;A01053
1287;A01287;;;;
1288;A01288;100224;A01053;100224;A01053
1289;A01289;100224;A01053;100224;A01053
1290;A01290;100224;A01053;100224;A01053
1291;A01291;100224;A01053;100224;A01053
1292;A01292;100224;A01053;100224;A01053
1293;A01293;100224;A01053;100224;A01053
1294;A01294;102067;A01034;100224;A01053
1295;A01295;100224;A01053;100224;A01053
1296;A01296;100224;A01053;100224;A01053
1297;A01297;100224;A01053;100224;A01053
1298;A01298;100224;A01053;100224;A01053
1299;A01299;100224;A01053;100224;A01053
1300;A01300;100224;A01053;100224;A01053
1301;A01301;100224;A01053;100224;A01053
1302;A01302;102067;A01034;100224;A01053
1303;A01303;100224;A01053;100224;A01053
1304;A01304;100224;A01053;100224;A01053
1305;A01305;100224;A01053;100224;A01053
1306;A01306;100224;A01053;100224;A01053
1307;A01307;100224;A01053;100224;A01053
1308;A01308;100224;A01053;100224;A01053
1309;A01309;100224;A01053;100224;A01053
1310;A01310;102067;A01034;100224;A01053
1311;A01311;102067;A01034;100224;A01053
1312;A01312;100224;A01053;100224;A01053
1313;A01313;100224;A01053;100224;A01053
1314;A01314;100224;A01053;100224;A01053
1315;A01315;;;;
1316;A01316;102067;A01034;100224;A01053
1317;A01317;100224;A01053;100224;A01053
1318;A01318;100224;A01053;100224;A01053
1319;A01319;100224;A01053;100224;A01053
1320;A01320;100224;A01053;100224;A01053
1321;A01321;100224;A01053;100224;A01053
1322;A01322;100224;A01053;100224;A01053
1323;A01323;100224;A01053;100224;A01053
1324;A01324;;;;
1325;A01325;100224;A01053;100224;A01053
1326;A01326;;;;
1327;A01327;;;;
1328;A01328;100224;A01053;100224;A01053
1329;A01329;102067;A01034;100224;A01053
1330;A01330;102067;A01034;100224;A01053
1331;A01331;100224;A01053;100224;A01053
1332;A01332;100224;A01053;100224;A01053
1333;A01333;100224;A01053;100224;A01053
1334;A01334;100224;A01053;100224;A01053
1335;A01335;100224;A01053;100224;A01053
1336;A01336;100224;A01053;100224;A01053
1337;A01337;100224;A01053;100224;A01053
1338;A01338;102067;A01034;100224;A01053
1339;A01339;100224;A01053;100224;A01053
1340;A01340;102067;A01034;100224;A01053
1341;A01341;102067;A01034;100224;A01053
1342;A01342;100224;A01053;100224;A01053
1343;A01343;100224;A01053;100224;A01053
1344;A01344;100224;A01053;100224;A01053
1345;A01345;102067;A01034;100224;A01053
1346;A01346;100224;A01053;100224;A01053
1347;A01347;100224;A01053;100224;A01053
1348;A01348;100224;A01053;100224;A01053
1349;A01349;100224;A01053;100224;A01053
1350;A01350;100224;A01053;100224;A01053
1351;A01351;100224;A01053;100224;A01053
1352;A01352;100224;A01053;100224;A01053
1353;A01353;100224;A01053;100224;A01053
1354;A01354;100224;A01053;100224;A01053
1355;A01355;100224;A01053;100224;A01053
1356;A01356;100224;A01053;100224;A01053
1357;A01357;100224;A01053;100224;A01053
1358;A01358;102067;A01034;100224;A01053
1359;A01359;100224;A01053;100224;A01053
1360;A01360;100224;A01053;100224;A01053
1361;A01361;100224;A01053;100224;A01053
1362;A01362;100224;A01053;100224;A01053
1363;A01363;100224;A01053;100224;A01053
1364;A01364;100224;A01053;100224;A01053
1365;A01365;100224;A01053;100224;A01053
1366;A01366;102067;A01034;100224;A01053
1367;A01367;100224;A01053;100224;A01053
1368;A01368;100224;A01053;100224;A01053
1369;A01369;100224;A01053;100224;A01053
1370;A01370;100224;A01053;100224;A01053
1371;A01371;100224;A01053;100224;A01053
1372;A01372;102067;A01034;100224;A01053
1373;A01373;100224;A01053;100224;A01053
1374;A01374;100224;A01053;100224;A01053
1375;A01375;100224;A01053;100224;A01053
1376;A01376;100224;A01053;100224;A01053
1377;A01377;;;;
1378;A01378;100224;A01053;100224;A01053
1379;A01379;102067;A01034;100224;A01053
1380;A01380;100224;A01053;100224;A01053
1381;A01381;100224;A01053;100224;A01053
1382;A01382;100224;A01053;100224;A01053
1383;A01383;100224;A01053;100224;A01053
1384;A01384;102067;A01034;100224;A01053
1385;A01385;100224;A01053;100224;A01053
1386;A01386;102067;A01034;100224;A01053
1387;A01387;100224;A01053;100224;A01053
1388;A01388;100224;A01053;100224;A01053
1389;A01389;100224;A01053;100224;A01053
1390;A01390;102067;A01034;100224;A01053
1391;A01391;100224;A01053;100224;A01053
1392;A01392;100224;A01053;100224;A01053
1393;A01393;100224;A01053;100224;A01053
1394;A01394;;;;
1395;A01395;;;;
1396;A01396;102067;A01034;100224;A01053
1397;A01397;100224;A01053;100224;A01053
1398;A01398;100224;A01053;100224;A01053
1399;A01399;100224;A01053;100224;A01053
1400;A01400;102067;A01034;100224;A01053
1401;A01401;100224;A01053;100224;A01053
1402;A01402;100224;A01053;100224;A01053
1403;A01403;102067;A01034;100224;A01053
1404;A01404;100224;A01053;100224;A01053
1405;A01405;100224;A01053;100224;A01053
1406;A01406;100224;A01053;100224;A01053
1407;A01407;102067;A01034;100224;A01053
1408;A01408;100224;A01053;100224;A01053
1409;A01409;102067;A01034;100224;A01053
1410;A01410;100224;A01053;100224;A01053
1411;A01411;102067;A01034;100224;A01053
1412;A01412;100224;A01053;100224;A01053
1413;A01413;100224;A01053;100224;A01053
1414;A01414;102067;A01034;100224;A01053
1415;A01415;102067;A01034;100224;A01053
1416;A01416;102067;A01034;100224;A01053
1417;A01417;102067;A01034;100224;A01053
1418;A01418;100224;A01053;100224;A01053
1419;A01419;100224;A01053;100224;A01053
1420;A01420;100224;A01053;100224;A01053
1421;A01421;102067;A01034;100224;A01053
1422;A01422;100224;A01053;100224;A01053
1423;A01423;100224;A01053;100224;A01053
1424;A01424;100224;A01053;100224;A01053
1425;A01425;100224;A01053;100224;A01053
1426;A01426;100224;A01053;100224;A01053
1427;A01427;100224;A01053;100224;A01053
1428;A01428;100224;A01053;100224;A01053
1429;A01429;100224;A01053;100224;A01053
1430;A01430;100224;A01053;100224;A01053
1431;A01431;102067;A01034;100224;A01053
1432;A01432;100224;A01053;100224;A01053
1433;A01433;100224;A01053;100224;A01053
1434;A01434;100224;A01053;100224;A01053
1435;A01435;100224;A01053;100224;A01053
1436;A01436;100224;A01053;100224;A01053
1437;A01437;100224;A01053;100224;A01053
1438;A01438;;;;
1439;A01439;100224;A01053;100224;A01053
1440;A01440;;;;
1441;A01441;100224;A01053;100224;A01053
1442;A01442;102067;A01034;100224;A01053
1443;A01443;100224;A01053;100224;A01053
1444;A01444;102067;A01034;100224;A01053
1445;A01445;100224;A01053;100224;A01053
1446;A01446;100224;A01053;100224;A01053
1447;A01447;100224;A01053;100224;A01053
1448;A01448;100224;A01053;100224;A01053
1449;A01449;100224;A01053;100224;A01053
1450;A01450;100224;A01053;100224;A01053
1451;A01451;100224;A01053;100224;A01053
1452;A01452;102067;A01034;100224;A01053
1453;A01453;102067;A01034;100224;A01053
1454;A01454;102067;A01034;100224;A01053
1455;A01455;;;;
1456;A01456;102067;A01034;100224;A01053
1457;A01457;100224;A01053;100224;A01053
1458;A01458;;;;
1459;A01459;;;;
2001;A02001;100225;A02173;100226;A02691
2002;A02002;100225;A02173;100226;A02691
2003;A02003;100227;A02722;100227;A02722
2004;A02004;102084;A02408;100226;A02691
2005;A02005;102084;A02408;100226;A02691
2006;A02006;100228;A02789;100226;A02691
2007;A02007;102084;A02408;100226;A02691
2008;A02008;100227;A02722;100227;A02722
2009;A02009;100226;A02691;100226;A02691
2010;A02010;100227;A02722;100227;A02722
2011;A02011;100227;A02722;100227;A02722
2012;A02012;100227;A02722;100227;A02722
2013;A02013;102084;A02408;100226;A02691
2014;A02014;100225;A02173;100226;A02691
2015;A02015;100227;A02722;100227;A02722
2016;A02016;100225;A02173;100226;A02691
2017;A02017;100225;A02173;100226;A02691
2018;A02018;102084;A02408;100226;A02691
2019;A02019;100226;A02691;100226;A02691
2020;A02020;100228;A02789;100226;A02691
2021;A02021;102084;A02408;100226;A02691
2022;A02022;100227;A02722;100227;A02722
2023;A02023;100227;A02722;100227;A02722
2024;A02024;102084;A02408;100226;A02691
2025;A02025;100226;A02691;100226;A02691
2026;A02026;100227;A02722;100227;A02722
2027;A02027;102084;A02408;100226;A02691
2028;A02028;102084;A02408;100226;A02691
2029;A02029;100226;A02691;100226;A02691
2030;A02030;100226;A02691;100226;A02691
2031;A02031;100228;A02789;100226;A02691
2032;A02032;100226;A02691;100226;A02691
2033;A02033;102084;A02408;100226;A02691
2034;A02034;100225;A02173;100226;A02691
2035;A02035;100228;A02789;100226;A02691
2036;A02036;100227;A02722;100227;A02722
2037;A02037;102084;A02408;100226;A02691
2038;A02038;102084;A02408;100226;A02691
2039;A02039;102084;A02408;100226;A02691
2040;A02040;100228;A02789;100226;A02691
2041;A02041;100225;A02173;100226;A02691
2042;A02042;100227;A02722;100227;A02722
2043;A02043;100227;A02722;100227;A02722
2044;A02044;100228;A02789;100226;A02691
2045;A02045;;;;
2046;A02046;102084;A02408;100226;A02691
2047;A02047;102084;A02408;100226;A02691
2048;A02048;102084;A02408;100226;A02691
2049;A02049;100225;A02173;100226;A02691
2050;A02050;100228;A02789;100226;A02691
2051;A02051;100227;A02722;100227;A02722
2052;A02052;102084;A02408;100226;A02691
2053;A02053;100227;A02722;100227;A02722
2054;A02054;100227;A02722;100227;A02722
2055;A02055;100228;A02789;100226;A02691
2056;A02056;100225;A02173;100226;A02691
2057;A02057;100226;A02691;100226;A02691
2058;A02058;102084;A02408;100226;A02691
2059;A02059;100225;A02173;100226;A02691
2060;A02060;100226;A02691;100226;A02691
2061;A02061;100226;A02691;100226;A02691
2062;A02062;100227;A02722;100227;A02722
2063;A02063;100226;A02691;100226;A02691
2064;A02064;100227;A02722;100227;A02722
2065;A02065;100226;A02691;100226;A02691
2066;A02066;100226;A02691;100226;A02691
2067;A02067;100228;A02789;100226;A02691
2068;A02068;100228;A02789;100226;A02691
2069;A02069;102084;A02408;100226;A02691
2070;A02070;100228;A02789;100226;A02691
2071;A02071;100227;A02722;100227;A02722
2072;A02072;102084;A02408;100226;A02691
2073;A02073;102084;A02408;100226;A02691
2074;A02074;100225;A02173;100226;A02691
2075;A02075;100226;A02691;100226;A02691
2076;A02076;102084;A02408;100226;A02691
2077;A02077;100227;A02722;100227;A02722
2078;A02078;100225;A02173;100226;A02691
2079;A02079;100228;A02789;100226;A02691
2080;A02080;102084;A02408;100226;A02691
2081;A02081;100225;A02173;100226;A02691
2082;A02082;100227;A02722;100227;A02722
2083;A02083;100227;A02722;100227;A02722
2084;A02084;100227;A02722;100227;A02722
2085;A02085;100227;A02722;100227;A02722
2086;A02086;100225;A02173;100226;A02691
2087;A02087;100227;A02722;100227;A02722
2088;A02088;102084;A02408;100226;A02691
2089;A02089;100227;A02722;100227;A02722
2090;A02090;100227;A02722;100227;A02722
2091;A02091;100227;A02722;100227;A02722
2092;A02092;;;;
2093;A02093;100225;A02173;100226;A02691
2094;A02094;100227;A02722;100227;A02722
2095;A02095;100226;A02691;100226;A02691
2096;A02096;102084;A02408;100226;A02691
2097;A02097;102084;A02408;100226;A02691
2098;A02098;100227;A02722;100227;A02722
2099;A02099;100227;A02722;100227;A02722
2100;A02100;100226;A02691;100226;A02691
2101;A02101;102084;A02408;100226;A02691
2102;A02102;102084;A02408;100226;A02691
2103;A02103;100228;A02789;100226;A02691
2104;A02104;102084;A02408;100226;A02691
2105;A02105;100227;A02722;100227;A02722
2106;A02106;102084;A02408;100226;A02691
2107;A02107;100225;A02173;100226;A02691
2108;A02108;102084;A02408;100226;A02691
2109;A02109;100228;A02789;100226;A02691
2110;A02110;100227;A02722;100227;A02722
2111;A02111;102084;A02408;100226;A02691
2112;A02112;100226;A02691;100226;A02691
2113;A02113;;;;
2114;A02114;100227;A02722;100227;A02722
2115;A02115;102084;A02408;100226;A02691
2116;A02116;100228;A02789;100226;A02691
2117;A02117;100226;A02691;100226;A02691
2118;A02118;100227;A02722;100227;A02722
2119;A02119;100227;A02722;100227;A02722
2120;A02120;100227;A02722;100227;A02722
2121;A02121;100227;A02722;100227;A02722
2122;A02122;100225;A02173;100226;A02691
2123;A02123;100226;A02691;100226;A02691
2124;A02124;100226;A02691;100226;A02691
2125;A02125;100227;A02722;100227;A02722
2126;A02126;102084;A02408;100226;A02691
2127;A02127;100227;A02722;100227;A02722
2128;A02128;102084;A02408;100226;A02691
2129;A02129;100227;A02722;100227;A02722
2130;A02130;100228;A02789;100226;A02691
2131;A02131;100227;A02722;100227;A02722
2132;A02132;102084;A02408;100226;A02691
2133;A02133;102084;A02408;100226;A02691
2134;A02134;100228;A02789;100226;A02691
2135;A02135;100228;A02789;100226;A02691
2136;A02136;100228;A02789;100226;A02691
2137;A02137;100227;A02722;100227;A02722
2138;A02138;100227;A02722;100227;A02722
2139;A02139;100225;A02173;100226;A02691
2140;A02140;100225;A02173;100226;A02691
2141;A02141;100228;A02789;100226;A02691
2142;A02142;100226;A02691;100226;A02691
2143;A02143;100226;A02691;100226;A02691
2144;A02144;100226;A02691;100226;A02691
2145;A02145;100225;A02173;100226;A02691
2146;A02146;100227;A02722;100227;A02722
2147;A02147;100227;A02722;100227;A02722
2148;A02148;100227;A02722;100227;A02722
2149;A02149;100226;A02691;100226;A02691
2150;A02150;102084;A02408;100226;A02691
2151;A02151;102084;A02408;100226;A02691
2152;A02152;100227;A02722;100227;A02722
2153;A02153;102084;A02408;100226;A02691
2154;A02154;100227;A02722;100227;A02722
2155;A02155;102084;A02408;100226;A02691
2156;A02156;102084;A02408;100226;A02691
2157;A02157;102084;A02408;100226;A02691
2158;A02158;102084;A02408;100226;A02691
2159;A02159;100225;A02173;100226;A02691
2160;A02160;102084;A02408;100226;A02691
2161;A02161;100227;A02722;100227;A02722
2162;A02162;100227;A02722;100227;A02722
2163;A02163;100227;A02722;100227;A02722
2164;A02164;100227;A02722;100227;A02722
2165;A02165;100225;A02173;100226;A02691
2166;A02166;100227;A02722;100227;A02722
2167;A02167;100227;A02722;100227;A02722
2168;A02168;100227;A02722;100227;A02722
2169;A02169;102084;A02408;100226;A02691
2170;A02170;100226;A02691;100226;A02691
2171;A02171;102084;A02408;100226;A02691
2172;A02172;100227;A02722;100227;A02722
2173;A02173;100225;A02173;100226;A02691
2174;A02174;100227;A02722;100227;A02722
2175;A02175;100227;A02722;100227;A02722
2176;A02176;100227;A02722;100227;A02722
2177;A02177;102084;A02408;100226;A02691
2178;A02178;102084;A02408;100226;A02691
2179;A02179;100227;A02722;100227;A02722
2180;A02180;102084;A02408;100226;A02691
2181;A02181;102084;A02408;100226;A02691
2182;A02182;100228;A02789;100226;A02691
2183;A02183;102084;A02408;100226;A02691
2184;A02184;100226;A02691;100226;A02691
2185;A02185;100227;A02722;100227;A02722
2186;A02186;100227;A02722;100227;A02722
2187;A02187;100227;A02722;100227;A02722
2188;A02188;100228;A02789;100226;A02691
2189;A02189;102084;A02408;100226;A02691
2190;A02190;100227;A02722;100227;A02722
2191;A02191;102084;A02408;100226;A02691
2192;A02192;100227;A02722;100227;A02722
2193;A02193;100227;A02722;100227;A02722
2194;A02194;102084;A02408;100226;A02691
2195;A02195;100227;A02722;100227;A02722
2196;A02196;102084;A02408;100226;A02691
2197;A02197;100228;A02789;100226;A02691
2198;A02198;100227;A02722;100227;A02722
2199;A02199;100226;A02691;100226;A02691
2200;A02200;102084;A02408;100226;A02691
2201;A02201;100227;A02722;100227;A02722
2202;A02202;;;;
2203;A02203;100227;A02722;100227;A02722
2204;A02204;100228;A02789;100226;A02691
2205;A02205;102084;A02408;100226;A02691
2206;A02206;100228;A02789;100226;A02691
2207;A02207;100225;A02173;100226;A02691
2208;A02208;102084;A02408;100226;A02691
2209;A02209;100227;A02722;100227;A02722
2210;A02210;100227;A02722;100227;A02722
2211;A02211;102084;A02408;100226;A02691
2212;A02212;100225;A02173;100226;A02691
2213;A02213;100227;A02722;100227;A02722
2214;A02214;100226;A02691;100226;A02691
2215;A02215;102084;A02408;100226;A02691
2216;A02216;100227;A02722;100227;A02722
2217;A02217;100225;A02173;100226;A02691
2218;A02218;102084;A02408;100226;A02691
2219;A02219;100225;A02173;100226;A02691
2220;A02220;100227;A02722;100227;A02722
2221;A02221;100227;A02722;100227;A02722
2222;A02222;100225;A02173;100226;A02691
2223;A02223;100227;A02722;100227;A02722
2224;A02224;100227;A02722;100227;A02722
2225;A02225;100227;A02722;100227;A02722
2226;A02226;100227;A02722;100227;A02722
2227;A02227;100227;A02722;100227;A02722
2228;A02228;100227;A02722;100227;A02722
2229;A02229;102084;A02408;100226;A02691
2230;A02230;100227;A02722;100227;A02722
