"ANNEEMOIS";"num_TC";"TC_VOL"
"200404";100259;10
"200404";100263;0
"200404";100265;2
"200404";100267;2
"200404";100272;14
"200404";100274;12
"200404";100275;4
"200404";100276;4
"200404";100278;8
"200404";100279;4
"200404";100284;12
"200404";100287;6
"200404";100288;6
"200404";100289;4
"200404";100291;12
"200404";100293;8
"200404";100295;10
"200404";100298;14
"200404";100300;4
"200404";100302;6
"200404";100304;10
"200404";100306;36
"200404";100307;2
"200404";100309;32
"200404";100310;0
"200404";100311;12
"200404";100314;22
"200404";100317;12
"200404";100318;2
"200404";100319;2
"200404";100321;8
"200404";100322;26
"200404";100323;12
"200404";100325;4
"200404";100327;0
"200404";100328;6
"200404";100329;4
"200404";100331;4
"200404";100332;10
"200404";100335;8
"200404";100336;4
"200404";100338;2
"200404";100339;2
"200404";100340;6
"200404";100344;14
"200404";100347;8
"200404";100350;0
"200404";100352;4
"200404";100353;0
"200404";100356;4
"200404";100358;6
"200404";100359;4
"200404";100360;0
"200404";100362;2
"200404";100363;8
"200404";100365;4
"200404";100367;12
"200404";100368;4
"200404";100369;24
"200404";100370;20
"200404";100371;2
"200404";100372;4
"200404";100373;8
"200404";100375;12
"200404";100380;18
"200404";100381;8
"200404";100386;6
"200404";100390;2
"200404";100392;0
"200404";100394;2
"200404";100395;6
"200404";100396;10
"200404";100398;8
"200404";100401;0
"200404";100405;4
"200404";100408;2
"200404";100409;12
"200404";100411;4
"200404";100416;4
"200404";100418;16
"200404";100420;18
"200404";100421;26
"200404";100424;38
"200404";100425;0
"200404";100427;8
"200404";100429;2
"200404";100430;14
"200404";100431;6
"200404";100433;12
"200404";100434;12
"200404";100436;12
"200404";100437;10
"200404";100438;12
"200404";100440;6
"200404";100441;6
"200404";100442;6
"200404";100445;2
"200404";100447;6
"200404";100448;4
"200404";100449;6
"200404";100450;18
"200404";100451;24
"200404";100452;28
"200404";100453;16
"200404";102791;2
"200404";102799;0
"200404";102807;8
"200404";102982;2
"200404";102990;10
"200404";102998;6
"200404";103006;10
"200404";915274;60
"200404";919321;0
"200404";937484;4
"200404";937485;12
"200404";937486;6
"200404";937488;4
"200405";100224;2
"200405";100226;2
"200405";100227;8
"200405";100229;2
"200405";100230;4
"200405";100233;0
"200405";100234;12
"200405";100235;14
"200405";100236;4
"200405";100238;30
"200405";100240;8
"200405";100242;4
"200405";100243;6
"200405";100244;2
"200405";100245;6
"200405";100248;6
"200405";100251;2
"200405";100253;24
"200405";100255;72
"200405";100256;8
"200405";100257;2
"200405";100259;8
"200405";100263;4
"200405";100265;2
"200405";100267;4
"200405";100272;10
"200405";100274;2
"200405";100275;8
"200405";100276;2
"200405";100278;6
"200405";100279;10
"200405";100284;20
"200405";100287;2
"200405";100289;2
"200405";100291;6
"200405";100293;4
"200405";100295;4
"200405";100298;0
"200405";100300;8
"200405";100302;6
"200405";100304;22
"200405";100306;46
"200405";100307;2
"200405";100309;32
"200405";100310;0
"200405";100311;8
"200405";100314;28
"200405";100317;8
"200405";100318;2
"200405";100319;8
"200405";100321;6
"200405";100322;12
"200405";100323;16
"200405";100325;4
"200405";100327;8
"200405";100328;0
"200405";100329;4
"200405";100331;0
"200405";100332;6
"200405";100334;2
"200405";100335;6
"200405";100336;2
"200405";100338;6
"200405";100339;0
"200405";100340;16
"200405";100344;14
"200405";100346;0
"200405";100347;0
"200405";100350;4
"200405";100352;2
"200405";100353;0
"200405";100356;6
"200405";100358;6
"200405";100359;8
"200405";100360;2
"200405";100362;6
"200405";100363;4
"200405";100365;6
"200405";100367;2
"200405";100368;14
"200405";100369;26
"200405";100370;20
"200405";100371;4
"200405";100372;2
"200405";100373;16
"200405";100375;4
"200405";100380;22
"200405";100381;14
"200405";100386;6
"200405";100390;2
"200405";100392;10
"200405";100394;0
"200405";100395;8
"200405";100396;6
"200405";100398;8
"200405";100401;6
"200405";100405;4
"200405";100408;6
"200405";100409;10
"200405";100411;4
"200405";100416;10
"200405";100418;12
"200405";100420;24
"200405";100421;22
"200405";100424;20
"200405";100425;8
"200405";100427;12
"200405";100429;4
"200405";100430;12
"200405";100431;2
"200405";100433;2
"200405";100434;8
"200405";100436;32
"200405";100437;12
"200405";100438;8
"200405";100440;4
"200405";100441;10
"200405";100442;6
"200405";100445;2
"200405";100447;8
"200405";100448;6
"200405";100449;12
"200405";100450;26
"200405";100451;80
"200405";100452;18
"200405";100453;16
"200405";102791;26
"200405";102799;2
"200405";102807;2
"200405";102982;2
"200405";102990;10
"200405";102998;4
"200405";103006;2
"200405";915274;48
"200405";919321;2
"200405";937484;4
"200405";937485;0
"200405";937486;6
"200405";937487;0
"200405";937488;4
"200406";100224;6
"200406";100226;6
"200406";100227;8
"200406";100229;2
"200406";100230;0
"200406";100232;2
"200406";100233;4
"200406";100234;10
"200406";100235;10
"200406";100236;12
"200406";100238;32
"200406";100240;2
"200406";100242;12
"200406";100243;2
"200406";100244;6
"200406";100245;10
"200406";100248;12
"200406";100251;0
"200406";100253;20
"200406";100255;72
"200406";100256;18
"200406";100257;6
"200406";100259;8
"200406";100267;0
"200406";100272;16
"200406";100274;2
"200406";100275;4
"200406";100276;6
"200406";100278;6
"200406";100279;6
"200406";100284;18
"200406";100287;4
"200406";100288;0
"200406";100289;4
"200406";100291;10
"200406";100293;10
"200406";100295;6
"200406";100298;0
"200406";100300;8
"200406";100302;8
"200406";100304;20
"200406";100306;52
"200406";100307;4
"200406";100309;26
"200406";100310;0
"200406";100311;4
"200406";100314;22
"200406";100317;6
"200406";100318;4
"200406";100319;4
"200406";100321;12
"200406";100322;8
"200406";100323;10
"200406";100325;10
"200406";100327;2
"200406";100328;2
"200406";100329;2
"200406";100331;0
"200406";100332;12
"200406";100334;0
"200406";100335;16
"200406";100336;14
"200406";100338;8
"200406";100339;0
"200406";100340;6
"200406";100344;22
"200406";100346;4
"200406";100347;0
"200406";100350;8
"200406";100352;14
"200406";100353;8
"200406";100356;4
"200406";100358;2
"200406";100359;14
"200406";100360;6
"200406";100362;2
"200406";100363;0
"200406";100365;2
"200406";100367;2
"200406";100368;10
"200406";100369;10
"200406";100370;10
"200406";100371;10
"200406";100372;2
"200406";100373;8
"200406";100375;0
"200406";100380;12
"200406";100381;12
"200406";100386;12
"200406";100390;14
"200406";100392;16
"200406";100394;2
"200406";100395;12
"200406";100396;10
"200406";100398;0
"200406";100401;2
"200406";100405;8
"200406";100408;18
"200406";100409;4
"200406";100411;2
"200406";100416;4
"200406";100418;14
"200406";100420;24
"200406";100421;30
"200406";100424;42
"200406";100425;12
"200406";100427;6
"200406";100429;6
"200406";100430;10
"200406";100431;8
"200406";100433;6
"200406";100434;16
"200406";100436;32
"200406";100437;20
"200406";100438;6
"200406";100440;4
"200406";100441;4
"200406";100442;4
"200406";100445;0
"200406";100447;4
"200406";100448;16
"200406";100449;8
"200406";100450;12
"200406";100451;54
"200406";100452;36
"200406";100453;18
"200406";102791;10
"200406";102799;4
"200406";102807;4
"200406";102982;8
"200406";102990;14
"200406";102998;8
"200406";103006;12
"200406";915274;114
"200406";919321;4
"200406";937484;6
"200406";937485;8
"200406";937486;10
"200406";937487;0
"200406";937488;6
"200407";100224;10
"200407";100226;22
"200407";100227;6
"200407";100229;4
"200407";100230;2
"200407";100232;2
"200407";100233;4
"200407";100234;10
"200407";100235;14
"200407";100236;8
"200407";100238;8
"200407";100240;18
"200407";100242;12
"200407";100243;2
"200407";100244;26
"200407";100245;6
"200407";100248;6
"200407";100251;4
"200407";100253;26
"200407";100255;46
"200407";100256;14
"200407";100257;6
"200407";100259;8
"200407";100263;8
"200407";100265;4
"200407";100267;8
"200407";100272;14
"200407";100274;8
"200407";100275;2
"200407";100276;4
"200407";100278;8
"200407";100279;2
"200407";100284;8
"200407";100287;4
"200407";100288;4
"200407";100289;12
"200407";100291;8
"200407";100293;24
"200407";100295;12
"200407";100298;16
"200407";100300;6
"200407";100302;2
"200407";100304;12
"200407";100306;40
"200407";100307;2
"200407";100309;22
"200407";100310;4
"200407";100311;4
"200407";100314;18
"200407";100317;18
"200407";100318;2
"200407";100319;6
"200407";100321;8
"200407";100322;16
"200407";100323;2
"200407";100325;8
"200407";100327;4
"200407";100328;4
"200407";100329;4
"200407";100331;0
"200407";100332;6
"200407";100334;4
"200407";100335;6
"200407";100336;2
"200407";100338;6
"200407";100339;2
"200407";100340;8
"200407";100344;8
"200407";100346;2
"200407";100347;8
"200407";100350;2
"200407";100352;2
"200407";100353;4
"200407";100356;4
"200407";100358;2
"200407";100359;8
"200407";100360;4
"200407";100362;2
"200407";100363;4
"200407";100365;6
"200407";100367;8
"200407";100368;10
"200407";100369;16
"200407";100370;14
"200407";100371;12
"200407";100372;6
"200407";100373;20
"200407";100375;4
"200407";100380;14
"200407";100381;10
"200407";100386;24
"200407";100390;2
"200407";100392;4
"200407";100394;8
"200407";100395;20
"200407";100396;32
"200407";100398;0
"200407";100401;10
"200407";100405;2
"200407";100408;8
"200407";100409;10
"200407";100411;6
"200407";100416;2
"200407";100418;16
"200407";100420;18
"200407";100421;32
"200407";100424;18
"200407";100425;2
"200407";100427;14
"200407";100429;2
"200407";100430;4
"200407";100431;0
"200407";100433;6
"200407";100434;18
"200407";100436;36
"200407";100437;10
"200407";100438;6
"200407";100440;4
"200407";100441;0
"200407";100442;14
"200407";100445;4
"200407";100447;6
"200407";100448;0
"200407";100449;8
"200407";100450;6
"200407";100451;26
"200407";100452;30
"200407";100453;12
"200407";102791;2
"200407";102799;8
"200407";102807;4
"200407";102982;0
"200407";102990;12
"200407";102998;4
"200407";103006;16
"200407";915274;74
"200407";919321;8
"200407";937484;4
"200407";937485;6
"200407";937486;4
"200407";937487;2
"200407";937488;2
"200408";100224;6
"200408";100226;2
"200408";100229;2
"200408";100230;2
"200408";100232;2
"200408";100238;2
"200408";100240;2
"200408";100244;2
"200408";100251;2
"200408";100253;4
"200408";100255;26
"200408";100256;2
"200408";100257;2
"200408";100259;4
"200408";100263;0
"200408";100267;4
"200408";100272;4
"200408";100274;8
"200408";100275;8
"200408";100278;6
"200408";100284;8
"200408";100288;4
"200408";100291;2
"200408";100293;6
"200408";100298;6
"200408";100302;0
"200408";100304;10
"200408";100306;18
"200408";100309;26
"200408";100310;2
"200408";100314;14
"200408";100317;0
"200408";100319;6
"200408";100321;8
"200408";100322;6
"200408";100323;0
"200408";100328;2
"200408";100329;0
"200408";100331;2
"200408";100332;0
"200408";100335;0
"200408";100336;8
"200408";100338;0
"200408";100339;0
"200408";100340;0
"200408";100347;2
"200408";100350;0
"200408";100352;4
"200408";100353;2
"200408";100356;2
"200408";100359;4
"200408";100362;4
"200408";100363;0
"200408";100368;10
"200408";100369;0
"200408";100370;12
"200408";100371;2
"200408";100372;4
"200408";100373;2
"200408";100380;6
"200408";100381;6
"200408";100386;2
"200408";100392;2
"200408";100396;8
"200408";100398;0
"200408";100401;0
"200408";100405;0
"200408";100409;2
"200408";100416;2
"200408";100418;4
"200408";100420;2
"200408";100421;0
"200408";100424;14
"200408";100427;4
"200408";100429;0
"200408";100430;0
"200408";100431;2
"200408";100433;2
"200408";100434;2
"200408";100437;20
"200408";100438;4
"200408";100442;4
"200408";100448;0
"200408";100449;2
"200408";100450;8
"200408";100451;14
"200408";100452;6
"200408";102791;2
"200408";102799;2
"200408";102807;2
"200408";102982;2
"200408";102990;2
"200408";102998;8
"200408";103006;2
"200408";915274;34
"200408";919321;2
"200408";937484;2
"200408";937485;4
"200408";937486;4
"200409";100224;18
"200409";100226;6
"200409";100227;6
"200409";100229;2
"200409";100230;0
"200409";100232;2
"200409";100233;8
"200409";100234;12
"200409";100235;10
"200409";100236;2
"200409";100238;28
"200409";100240;6
"200409";100242;14
"200409";100243;2
"200409";100244;4
"200409";100245;6
"200409";100248;10
"200409";100251;4
"200409";100253;14
"200409";100255;102
"200409";100256;2
"200409";100257;14
"200409";100259;10
"200409";100263;2
"200409";100265;0
"200409";100267;2
"200409";100272;4
"200409";100274;2
"200409";100275;4
"200409";100276;2
"200409";100278;2
"200409";100279;20
"200409";100284;8
"200409";100287;6
"200409";100288;0
"200409";100289;2
"200409";100291;10
"200409";100293;12
"200409";100295;8
"200409";100298;12
"200409";100300;6
"200409";100302;2
"200409";100304;18
"200409";100306;56
"200409";100307;4
"200409";100309;40
"200409";100310;2
"200409";100311;8
"200409";100314;22
"200409";100317;10
"200409";100318;10
"200409";100319;4
"200409";100321;12
"200409";100322;16
"200409";100323;2
"200409";100325;6
"200409";100327;2
"200409";100328;2
"200409";100329;6
"200409";100331;0
"200409";100332;6
"200409";100334;4
"200409";100335;16
"200409";100336;4
"200409";100338;14
"200409";100339;8
"200409";100340;2
"200409";100344;20
"200409";100346;2
"200409";100347;2
"200409";100350;12
"200409";100352;16
"200409";100353;4
"200409";100356;6
"200409";100358;4
"200409";100359;8
"200409";100360;2
"200409";100362;4
"200409";100363;4
"200409";100365;0
"200409";100367;4
"200409";100368;10
"200409";100369;12
"200409";100370;22
"200409";100371;10
"200409";100372;4
"200409";100373;14
"200409";100375;12
"200409";100380;18
"200409";100381;8
"200409";100386;14
"200409";100390;10
"200409";100392;2
"200409";100394;6
"200409";100395;12
"200409";100396;14
"200409";100398;4
"200409";100401;10
"200409";100405;2
"200409";100408;8
"200409";100409;2
"200409";100411;6
"200409";100416;14
"200409";100418;10
"200409";100420;32
"200409";100421;16
"200409";100424;54
"200409";100425;6
"200409";100427;8
"200409";100429;8
"200409";100430;8
"200409";100431;8
"200409";100433;8
"200409";100434;16
"200409";100436;32
"200409";100437;16
"200409";100438;14
"200409";100440;6
"200409";100441;10
"200409";100442;14
"200409";100445;4
"200409";100447;4
"200409";100448;8
"200409";100449;4
"200409";100450;12
"200409";100451;66
"200409";100452;26
"200409";100453;20
"200409";102791;10
"200409";102799;10
"200409";102807;14
"200409";102982;0
"200409";102990;10
"200409";102998;0
"200409";103006;8
"200409";915274;74
"200409";919321;2
"200409";937484;2
"200409";937485;12
"200409";937486;4
"200409";937487;2
"200409";937488;0
"200410";100224;10
"200410";100226;2
"200410";100227;0
"200410";100229;8
"200410";100230;4
"200410";100232;4
"200410";100233;2
"200410";100234;28
"200410";100235;18
"200410";100236;10
"200410";100238;40
"200410";100240;12
"200410";100242;6
"200410";100243;0
"200410";100244;8
"200410";100245;6
"200410";100248;8
"200410";100251;4
"200410";100253;30
"200410";100255;66
"200410";100256;12
"200410";100257;6
"200410";100259;10
"200410";100263;4
"200410";100265;2
"200410";100267;12
"200410";100272;10
"200410";100274;0
"200410";100275;6
"200410";100276;8
"200410";100278;6
"200410";100279;2
"200410";100284;8
"200410";100287;4
"200410";100288;2
"200410";100289;2
"200410";100291;12
"200410";100293;12
"200410";100295;8
"200410";100298;12
"200410";100300;8
"200410";100302;6
"200410";100304;24
"200410";100306;62
"200410";100307;4
"200410";100309;18
"200410";100310;4
"200410";100311;4
"200410";100314;24
"200410";100317;8
"200410";100318;4
"200410";100319;4
"200410";100321;6
"200410";100322;20
"200410";100323;4
"200410";100325;8
"200410";100327;8
"200410";100328;0
"200410";100329;12
"200410";100331;14
"200410";100332;12
"200410";100334;6
"200410";100335;8
"200410";100336;4
"200410";100338;6
"200410";100339;4
"200410";100340;8
"200410";100344;10
"200410";100346;2
"200410";100347;12
"200410";100350;2
"200410";100352;6
"200410";100353;10
"200410";100356;6
"200410";100358;2
"200410";100359;24
"200410";100360;4
"200410";100362;2
"200410";100363;8
"200410";100365;4
"200410";100367;6
"200410";100368;6
"200410";100369;18
"200410";100370;22
"200410";100371;12
"200410";100372;10
"200410";100373;12
"200410";100375;4
"200410";100380;20
"200410";100381;12
"200410";100386;16
"200410";100390;2
"200410";100392;8
"200410";100394;6
"200410";100395;16
"200410";100396;18
"200410";100398;0
"200410";100401;16
"200410";100405;4
"200410";100408;24
"200410";100409;20
"200410";100411;4
"200410";100416;4
"200410";100418;12
"200410";100420;24
"200410";100421;42
"200410";100424;36
"200410";100425;4
"200410";100427;22
"200410";100429;6
"200410";100430;10
"200410";100431;6
"200410";100433;10
"200410";100434;16
"200410";100436;24
"200410";100437;8
"200410";100438;8
"200410";100440;2
"200410";100441;10
"200410";100442;8
"200410";100445;4
"200410";100447;6
"200410";100448;16
"200410";100449;10
"200410";100450;28
"200410";100451;70
"200410";100452;12
"200410";100453;24
"200410";102791;4
"200410";102799;4
"200410";102807;2
"200410";102982;0
"200410";102990;4
"200410";102998;6
"200410";103006;14
"200410";915274;58
"200410";919321;6
"200410";937484;0
"200410";937485;12
"200410";937486;4
"200410";937487;2
"200410";937488;6
"200411";100224;6
"200411";100226;10
"200411";100227;2
"200411";100229;6
"200411";100230;6
"200411";100232;6
"200411";100234;24
"200411";100235;8
"200411";100236;6
"200411";100238;36
"200411";100240;4
"200411";100242;4
"200411";100243;0
"200411";100244;14
"200411";100245;6
"200411";100248;6
"200411";100251;12
"200411";100253;20
"200411";100255;48
"200411";100256;6
"200411";100257;12
"200411";100259;16
"200411";100263;4
