"I_CD_POST_SIEGE";"distance_TC";"distance_TCABS"
"14579";21.7527233044513;29.1678494496422
"14467";23.6646978486446;33.3311283661892
"61489";15.0821446553872;47.7230514091817
"14717";18.7798972749299;53.5193375016796
"14332";29.4922660532239;39.9364867565155
"61353";10.3538364405262;46.298073556701
"61469";39.5447116057549;77.8306215892967
"14255";25.103199188936;50.719011034246
"14251";15.270245563229;24.8718938794121
"61163";22.3883509274803;60.1655407330982
"14720";22.6728384815513;27.1815659909747
"61124";24.623229914956;61.2700642916525
"14718";20.2423145896335;56.3209135699026
"14394";34.2770381941479;24.1371329146132
"61452";33.2563136079445;73.0705669535369
"14611";29.7059207265623;59.3854183842725
"14156";14.8557331267408;47.3826317513823
"61200";38.1102189116921;74.4110905626677
"61219";9.76883906197804;40.0272299798714
"14689";16.2314892423997;23.6113185568132
"14510";12.6639323237096;30.8077768279902
"14088";27.2241146755215;27.0724604014619
"61369";23.207048903951;62.8437632688996
"61278";15.1801601928958;53.7995969093539
"61459";18.633995545564;55.7397927913277
"14696";22.2056023594905;22.2056023594905
"14420";11.8136754229929;11.8136754229929
"14633";15.2607404372983;15.2607404372983
"14520";6.75798089171838;6.75798089171838
"14265";12.4023858929328;12.4023858929328
"14270";6.11132107530158;6.11132107530158
"14433";21.6823115090037;21.6823115090037
"14029";24.3142147150118;24.3142147150118
"14688";23.9849793705155;23.9849793705155
"14425";11.1918162464369;11.1918162464369
"14260";5.21199466187027;5.21199466187027
"14625";4.17130182875555;4.17130182875555
"14600";14.4805634731071;14.4805634731071
"14154";12.4429550552991;12.4429550552991
"14472";24.291106149681;24.291106149681
"14487";3.85118363528449;3.85118363528449
"14334";12.3357867039213;12.3357867039213
"14518";17.7831457559528;17.7831457559528
"14366";0;0
"14522";8.41179553806561;8.41179553806561
"14582";8.31666634515707;8.31666634515707
"14414";18.3208872866706;18.3208872866706
"14303";3.97363833701763;3.97363833701763
"14141";16.4152357434045;16.4152357434045
"14435";8.84062632346374;8.84062632346374
"14626";7.37154645422474;7.37154645422474
"14313";13.76352922319;13.76352922319
"14473";14.7278973477333;14.7278973477333
"14368";21.2527535599833;21.2527535599833
"14105";19.6691448005269;19.6691448005269
"14729";28.2484199722793;28.2484199722793
"14540";2.58150060595881;2.58150060595881
"14273";22.8736709986281;22.8736709986281
"14148";18.4634352223496;18.4634352223496
"14337";10.2456850691538;10.2456850691538
"14028";10.1407758628997;10.1407758628997
"14058";17.7085258508224;17.7085258508224
"14179";10.9726337980124;10.9726337980124
"14604";15.4121637199102;15.4121637199102
"14484";7.74320064569194;7.74320064569194
"14330";19.8986721205399;19.8986721205399
"14326";4.43947594133519;4.43947594133519
"14697";25.3809754805664;25.3809754805664
"14418";12.8676007905666;12.8676007905666
"14471";16.3611638520289;16.3611638520289
"14082";7.97250550718136;7.97250550718136
"14194";12.0634783196224;12.0634783196224
"14444";14.8422580251612;14.8422580251612
"14210";13.972675179575;13.972675179575
"14371";16.5994735048932;16.5994735048932
"14403";9.59025589065071;9.59025589065071
"14208";25.6114683345832;25.6114683345832
"14410";22.8950425257646;22.8950425257646
"14634";16.5134689447385;16.5134689447385
"14638";18.6570173939968;18.6570173939968
"14615";14.7966533020196;14.7966533020196
"14576";21.6027060010651;21.6027060010651
"14740";20.3119663003979;20.3119663003979
"14075";24.2154721405822;24.2154721405822
"14155";13.1914003895319;13.1914003895319
"14201";16.0935746741853;16.0935746741853
"14189";14.1333205662111;14.1333205662111
"14571";7.7210244749549;7.7210244749549
"14362";11.4886728194426;11.4886728194426
"14599";10.1284990413447;10.1284990413447
"14293";10.430215075818;10.430215075818
"14450";20.2313782130983;20.2313782130983
"14331";22.4110631914954;22.4110631914954
"14693";13.0805876017385;13.0805876017385
"14493";23.827021381073;23.827021381073
"14489";22.2303628266736;22.2303628266736
"14419";7.54570450842388;7.54570450842388
"14616";18.5638227363249;18.5638227363249
"14570";11.6241570935738;11.6241570935738
"14431";24.0292147947485;24.0292147947485
"14583";23.4874952641071;23.4874952641071
"14099";21.2066912340306;21.2066912340306
"14595";5.93262969666888;5.93262969666888
"14153";21.4009832048212;21.4009832048212
"14031";16.3649892372014;16.3649892372014
"14147";15.7816851558498;15.7816851558498
"14580";21.4282189721891;21.4282189721891
"14654";25.0439540790531;25.0439540790531
"14621";15.1667233802757;15.1667233802757
"14387";23.324731788491;23.324731788491
"14081";19.7034712142564;19.7034712142564
"14259";22.152348435852;22.152348435852
"14527";20.2814521799257;20.2814521799257
"14478";17.3755652012695;17.3755652012695
"14422";18.329725863243;18.329725863243
"14504";10.3110996162994;10.3110996162994
"14459";19.4561282271277;19.4561282271277
"14460";9.83658976469262;9.83658976469262
"14292";19.7655373299283;19.7655373299283
"14750";17.8282722125913;17.8282722125913
"14359";12.1828461847;12.1828461847
"14647";10.0246001308909;10.0246001308909
"14648";6.61269165364714;6.61269165364714
"14429";20.2237726053135;20.2237726053135
"14608";17.1708346307;17.1708346307
"14421";5.65992822213694;5.65992822213694
"14269";18.8089428822331;10.8263293494348
"14541";28.2132332927313;11.2490543893025
"14748";11.1471514287744;18.4895185048334
"14104";21.0831468739016;9.80937258114298
"14261";20.2374041614828;11.7697970613115
"14059";16.0486813562517;25.4948251702391
"14285";25.3598465092407;10.9873530461291
"14550";29.6907762569517;16.368650173338
"14227";25.0667924926417;22.9766818566586
"14302";19.2067401559254;18.7314433433094
"14500";17.7837424107368;12.3531985905446
"14091";20.7104213730279;18.8243493476747
"14016";22.5952702512578;17.5988865223833
"14657";37.6395450080258;28.907640190944
"14723";21.9333640245474;14.3267346246632
"14131";12.9612057105856;20.3632500564743
"14533";27.694596348091;15.4040301646152
"14220";13.5162347531757;25.9979126037888
"14706";10.8161081764501;19.5017745029547
"14093";22.3147387557863;20.7582181483164
"14524";31.3461504214044;23.4121118240476
"14536";2.2744394776191;29.1490077404899
"14534";16.3609749377966;15.7054534448718
"14178";35.4745908623739;19.4238247024926
"14024";22.3019016442889;26.5979702076374
"14754";20.2820160046956;24.9114989958224
"14102";20.6347395801309;9.13659691593142
"14126";32.4961471479196;13.4509733365802
"14280";24.4855079473314;9.756075628589
"14335";34.7502999295626;23.2019688041939
"14299";6.46053372810036;23.8506254160436
"14086";12.614347975675;22.1500109867401
"14699";11.2166978048776;24.7649268680333
"14177";23.5916376904802;6.88669138107913
"14620";13.1017539996428;18.9985771446639
"14694";22.2279675668971;9.40271156553801
"14033";26.7039275986887;13.1240760420546
"14601";13.954572565549;15.6796656698281
"14399";16.4348630155924;13.2131714444257
"14225";27.7975468121713;28.2650152008456
"14161";20.5190078224548;12.9460229647326
"14218";24.0003341993244;18.4419245070301
"14243";2.28392914092659;28.5999372905888
"14338";25.6340659574304;27.8906025760487
"14083";24.1400720404668;13.3938787749569
"14308";32.8623343285496;26.6520779945204
"14055";18.649840735042;16.3505619189357
"14514";15.1632942582644;15.3411414096321
"14079";18.0040115428176;24.6282532696702
"14448";29.8822284159611;12.4437773581556
"14398";26.95989538891;7.7366097525863
"14492";5.48206861802891;28.8688933334656
"14358";29.1644103801697;14.0349368664642
"14185";12.8373715577198;17.9611601382849
"14304";3.50052108652514;26.1155483446097
"14743";32.6340233218744;18.2271783750721
"14687";7.41944594919064;22.2785169961209
"14701";15.5898535572752;22.2682055496993
"14528";9.10530339229768;22.1853561198708
"14045";35.4954718971994;28.0248333403709
"14300";29.7953956666115;17.969502611385
"14557";14.0472297528328;23.2471261080865
"14329";23.9215446426333;21.8357027529715
"14077";18.7816286433647;11.6003037833557
"14639";30.7355279998176;9.8316614295001
"14110";30.9391467832016;27.3074672018157
"14682";12.2824500088578;17.4095581829824
"14466";23.3225171726387;6.29350393935727
"14426";17.1480951610184;12.6612247552943
"14012";26.892322517516;22.2109735657596
"14644";22.522661043977;7.75351537346658
"14575";16.0484122595537;18.3614565262539
"14715";10.8318666744106;26.9732756734042
"14555";12.8255501906463;17.8444024879925
"14085";17.3063754587867;15.9606016909773
"14032";14.5907817955434;15.5262137254047
"14238";11.0406058452028;21.5785994480911
"14230";20.5884356689787;15.0659126831878
"14231";27.0373414768309;17.3667207748887
"14755";8.65537979168905;28.4524488974794
"14563";10.1100578795843;19.9908853464115
"14645";19.7595904639963;21.874692616335
"14574";3.48034172915245;3.48034172915245
"14494";29.2151226528667;27.5448663261731
"14198";25.3937821060608;19.4287633773521
"14606";27.3783354530066;20.6524623330169
"14203";29.8830426831794;24.8379449497605
"14229";28.98439212961;22.5828932813356
"14041";4.68360842197422;27.5194012440157
"14598";28.3570346914056;19.941972205002
"14593";19.5455329856987;11.9238305459235
"14333";0;29.6146512567415
"14316";27.2698699622877;25.1286499686853
"14286";6.17665035480423;23.4528510373633
"14660";21.8495145816545;23.488617850684
