i_elst;libel_lg;libel_crt;tc_abs;NOM_TCABS;num_TC;TGI;D_TC
100254;Tribunal de Commerce d'Arles;ARLES;1;TARASCON;100257;0;1
100255;Tribunal de Commerce de Marseille;MARSEILLE;3;MARSEILLE;100255;0;1
100256;Tribunal de Commerce de Salon-de-Provence;SALON DE PROVENCE;3;SALON DE PROVENCE;100256;0;1
100257;Tribunal de Commerce de Tarascon;TARASCON SUR RHONE;0;TARASCON SUR RHONE;100257;0;1
100258;Tribunal de Commerce de Bayeux;BAYEUX;1;CAEN;100259;0;1
100259;Tribunal de Commerce de Caen;CAEN;0;CAEN;100259;0;1
100260;Tribunal de Commerce de Condé-Sur-Noireau;CONDE SUR NOIREAU;1;CAEN;100259;0;1
100262;Tribunal de Commerce de Honfleur;HONFLEUR;1;LISIEUX;100263;0;1
100263;Tribunal de Commerce de Lisieux;LISIEUX;0;LISIEUX;100263;0;1
100265;Tribunal de Commerce d'Aurillac;AURILLAC;3;AURILLAC;100265;0;1
100267;Tribunal de Commerce d'Angoulême;ANGOULEME;0;ANGOULEME;100267;0;1
100268;Tribunal de Commerce de Cognac;COGNAC;1;ANGOULEME;100267;0;1
100270;Tribunal de Commerce de Marennes;MARENNES;1;LA ROCHELLE;100272;0;1
100271;Tribunal de Commerce de Rochefort;ROCHEFORT;1;LA ROCHELLE;100272;0;1
100272;Tribunal de Commerce de La Rochelle;LA ROCHELLE;0;LA ROCHELLE;100272;0;1
100274;Tribunal de Commerce de Saintes;SAINTES;3;SAINTES;100274;0;1
100275;Tribunal de Commerce de Bourges;BOURGES;3;BOURGES;100275;0;1
100276;Tribunal de Commerce de Brive-la-Gaillarde;BRIVE LA GAILLARDE;0;BRIVE LA GAILLARDE;100276;0;1
100277;Tribunal de Commerce de Tulle;TULLE;1;BRIVE LA GAILLARDE;100276;0;1
100278;Tribunal de Commerce d'Ajaccio;AJACCIO;3;AJACCIO;100278;0;1
100279;Tribunal de Commerce de Bastia;BASTIA;3;BASTIA;100279;0;1
100282;Tribunal de Commerce de Beaune;BEAUNE;1;DIJON;100284;0;1
100284;Tribunal de Commerce de Dijon;DIJON;0;DIJON;100284;0;1
100287;Tribunal de Commerce de Saint-Brieuc;SAINT BRIEUC;0;SAINT BRIEUC;100287;0;1
100288;Tribunal de Commerce de Bergerac;BERGERAC;0;BERGERAC;100288;0;1
100289;Tribunal de Commerce de Périgueux;PERIGUEUX;3;PERIGUEUX;100289;0;1
100290;Tribunal de Commerce de Sarlat-la-Canéda;SARLAT LA CANEDA;1;BERGERAC;100288;0;1
100291;Tribunal de Commerce de Besançon;BESANCON;3;BESANCON;100291;0;1
100292;Tribunal de Commerce de Die;DIE;1;ROMANS SUR ISERE;100293;0;1
100293;Tribunal de Commerce de Romans-sur-Isère;ROMANS SUR ISERE;0;ROMANS SUR ISERE;100293;0;1
100295;Tribunal de Commerce d'Evreux;EVREUX;3;EVREUX;100295;0;1
100297;Tribunal de Commerce de Pont-Audemer;PONT AUDEMER;1;BERNAY;937488;0;1
100298;Tribunal de Commerce de Chartres;CHARTRES;0;CHARTRES;100298;0;1
100299;Tribunal de Commerce de Dreux;DREUX;1;CHARTRES;100298;0;1
100300;Tribunal de Commerce de Brest;BREST;0;BREST;100300;0;1
100301;Tribunal de Commerce de Morlaix;MORLAIX;1;BREST;100300;0;1
100302;Tribunal de Commerce de Quimper;QUIMPER;3;QUIMPER;100302;0;1
100304;Tribunal de Commerce de Nîmes;NIMES;0;NIMES;100304;0;1
100306;Tribunal de Commerce de Toulouse;TOULOUSE;0;TOULOUSE;100306;0;1
100307;Tribunal de Commerce d'Auch;AUCH;3;AUCH;100307;0;1
100308;Tribunal de Commerce de Blaye;BLAYE;1;LIBOURNE;100310;0;1
100309;Tribunal de Commerce Bordeaux;BORDEAUX;3;BORDEAUX;100309;0;1
100310;Tribunal de Commerce de Libourne;LIBOURNE;0;LIBOURNE;100310;0;1
100311;Tribunal de Commerce de Béziers;BEZIERS;3;BEZIERS;100311;0;1
100312;Tribunal de Commerce de Clermont-L'Hérault;CLERMONT L'HERAULT;1;MONTPELLIER;100314;0;1
100314;Tribunal de Commerce de Montpellier;MONTPELLIER;0;MONTPELLIER;100314;0;1
